 ********* BEGIN READER ****************************
 
 Nucleus            :  Se  34  96
 Imin, Imax         :     0  10
 imu, remu          :     1 12.0000
  10   4    9.063436
  10   5   10.195523
  10   6   10.335187
  10   7   10.538847
  10   8   11.436673
  10   9   11.726753
  10  10   11.803698
 
 ********* END LEVELS **********************
 
 ********* BEGIN Transition ************************
 
  Monopole moment 
 
   I   n    <In|E0|In>   ave \beta      del<b>   ave \gamma    del<g>  
     K=0       K=2       K=4   
   0   1     20.752908    0.259367    0.066287   31.203377   11.238409  100.0000    0.0000    0.0000
   0   2     20.918443    0.296349    0.082571   36.766084   10.765239  100.0000    0.0000    0.0000
   0   3     21.123492    0.352184    0.108662   18.060561   10.812898   99.9999    0.0000    0.0000
   0   4     21.425098    0.405446    0.150842   18.800177   11.495418   99.9997    0.0000    0.0000
   2   1     20.825776    0.276796    0.064126   33.220884   10.849233   50.4670   49.5330    0.0000
   2   2     20.877629    0.291040    0.069811   26.286123   11.601586   57.5130   42.4870    0.0000
   2   3     21.126199    0.342830    0.106605   30.374236   11.622692   64.7008   35.2991    0.0000
   2   4     21.271552    0.378271    0.100857   19.596213   12.630079   61.6823   38.3176    0.0000
   3   1     20.987724    0.315818    0.073742   27.961810    9.133064    0.0000  100.0000    0.0000
   3   2     21.560092    0.424009    0.111449   23.022758    9.562700    0.0000   99.9998    0.0000
   3   3     21.517302    0.417417    0.102434   23.111633   13.461775    0.0000   99.9998    0.0000
   3   4     21.717947    0.452898    0.141997   19.761097    9.478310    0.0000   99.9994    0.0000
   4   1     20.895152    0.292544    0.063596   34.487317   10.558966   35.0755   35.1311   29.7933
   4   2     20.956696    0.309904    0.074291   25.012480   12.599043   66.1176    3.4828   30.3995
   4   3     21.115323    0.343639    0.081420   25.812952   10.387227   13.7622   55.2375   31.0002
   4   4     21.427554    0.402420    0.113292   23.237624   12.217193   65.7547   23.8751   10.3701
   5   1     21.114152    0.342171    0.078452   28.047852    9.241987    0.0000   59.1579   40.8420
   5   2     21.343604    0.387754    0.089249   24.015186    9.712821    0.0000   46.3889   53.6110
   5   3     21.630822    0.435536    0.118105   22.149023    9.566149    0.0000   74.1974   25.8024
   5   4     21.677948    0.443265    0.123727   21.750231    9.308536    0.0000   27.7173   72.2825
   6   1     20.968043    0.308407    0.064868   35.000078   10.380922   27.3939   31.4226   20.4206
   6   2     21.075955    0.336740    0.084107   23.416952   13.172455   65.8296    4.4269    7.3386
   6   3     21.296392    0.378890    0.089453   24.667446   11.073681   23.1428   46.3928    2.8899
   6   4     21.620696    0.436174    0.116262   19.812784   12.162097   67.9674   19.8601    5.9388
   7   1     21.285910    0.375247    0.083888   27.205898    9.526269    0.0000   43.7897   38.4007
   7   2     21.608963    0.433649    0.094021   21.824066   10.458053    0.0000   59.0919    8.7755
   7   3     21.616973    0.432860    0.123722   22.786535    9.438282    0.0000   52.3227   36.3076
   7   4     21.769694    0.457785    0.087971   22.407028    9.398820    0.0000   12.3612   49.6448
   8   1     21.055429    0.326780    0.068900   34.527611   10.477465   23.6536   29.6134   18.7206
   8   2     21.314034    0.384701    0.098922   20.693966   13.173303   64.5116    8.8520    3.2229
   8   3     21.643779    0.439226    0.127023   19.413486   12.202376   64.0791   22.0830    5.7317
   8   4     21.579850    0.429407    0.097536   21.420629   12.251217   30.8753   38.0388   10.3188
   9   1     21.523983    0.417458    0.087705   25.073483    9.798902    0.0000   42.0448   34.7035
   9   2     21.791280    0.462143    0.096140   20.820969   10.986867    0.0000   57.1128    5.6389
   9   3     21.874115    0.473531    0.098291   21.773242    8.686778    0.0000   13.0298   65.3375
   9   4     21.686077    0.443874    0.117633   23.031253   10.834333    0.0000   44.4631   16.8472
  10   1     21.186265    0.353414    0.078274   32.197156   11.141110   23.7026   29.5970   17.7625
  10   2     21.666533    0.445656    0.103629   18.020407   12.669490   63.9512   12.5905    3.0513
  10   3     21.818524    0.468184    0.108037   17.954828   13.569598   44.0607   24.3719    8.5249
  10   4     21.530707    0.418935    0.124064   22.992756   10.591725   46.3225   33.1720   12.1148
 
  rho^2(E0) 
 
   I  n_1 n_2  <In_1|E0|In_2>  rho^2(E0) 
   0   1   1       20.752908  364.585622
   0   2   1       -0.173945    0.025613
   0   2   2       20.918443  370.425038
   0   3   1        0.184819    0.028916
   0   3   2        0.007121    0.000043
   0   3   3       21.123492  377.722649
   0   4   1        0.020820    0.000367
   0   4   2        0.215390    0.039273
   0   4   3       -0.476128    0.191907
   0   4   4       21.425098  388.586108
   2   1   1       20.825776  367.150391
   2   2   1       -0.034911    0.001032
   2   2   2       20.877629  368.980956
   2   3   1        0.235665    0.047015
   2   3   2        0.043275    0.001585
   2   3   3       21.126199  377.819481
   2   4   1        0.085891    0.006245
   2   4   2        0.051678    0.002261
   2   4   3        0.148641    0.018703
   2   4   4       21.271552  383.036334
   3   1   1       20.987724  372.882778
   3   2   1        0.328528    0.091366
   3   2   2       21.560092  393.498263
   3   3   1       -0.017871    0.000270
   3   3   2        0.249898    0.052865
   3   3   3       21.517302  391.937895
   3   4   1        0.038072    0.001227
   3   4   2       -0.521720    0.230418
   3   4   3       -0.232127    0.045613
   3   4   4       21.717947  399.281463
   4   1   1       20.895152  369.600617
   4   2   1       -0.033256    0.000936
   4   2   2       20.956696  371.781056
   4   3   1       -0.007092    0.000043
   4   3   2       -0.010285    0.000090
   4   3   3       21.115323  377.430560
   4   4   1        0.251297    0.053458
   4   4   2        0.126537    0.013554
   4   4   3        0.003891    0.000013
   4   4   4       21.427554  388.675173
   5   1   1       21.114152  377.388722
   5   2   1        0.039538    0.001323
   5   2   2       21.343604  385.635622
   5   3   1        0.376170    0.119787
   5   3   2        0.159213    0.021458
   5   3   3       21.630822  396.084326
   5   4   1       -0.057295    0.002779
   5   4   2        0.455803    0.175871
   5   4   3        0.015267    0.000197
   5   4   4       21.677948  397.812060
   6   1   1       20.968043  372.183759
   6   2   1       -0.011225    0.000107
   6   2   2       21.075955  376.024492
   6   3   1       -0.062291    0.003285
   6   3   2       -0.006984    0.000041
   6   3   3       21.296392  383.931461
   6   4   1        0.250897    0.053289
   6   4   2        0.241236    0.049264
   6   4   3        0.004491    0.000017
   6   4   4       21.620696  395.713577
   7   1   1       21.285910  383.553589
   7   2   1       -0.147339    0.018377
   7   2   2       21.608963  395.284210
   7   3   1        0.420496    0.149680
   7   3   2       -0.166403    0.023440
   7   3   3       21.616973  395.577324
   7   4   1       -0.013099    0.000145
   7   4   2        0.178731    0.027042
   7   4   3        0.034474    0.001006
   7   4   4       21.769694  401.186478
   8   1   1       21.055429  375.292422
   8   2   1        0.054165    0.002484
   8   2   2       21.314034  384.567799
   8   3   1       -0.274362    0.063722
   8   3   2       -0.386238    0.126285
   8   3   3       21.643779  396.559004
   8   4   1       -0.084773    0.006084
   8   4   2        0.092207    0.007197
   8   4   3       -0.079763    0.005386
   8   4   4       21.579850  394.219814
   9   1   1       21.523983  392.181306
   9   2   1       -0.247685    0.051933
   9   2   2       21.791280  401.982441
   9   3   1       -0.264690    0.059308
   9   3   2       -0.146619    0.018198
   9   3   3       21.874115  405.044371
   9   4   1       -0.363859    0.112075
   9   4   2        0.191142    0.030928
   9   4   3       -0.096396    0.007866
   9   4   4       21.686077  398.110488
  10   1   1       21.186265  379.970961
  10   2   1       -0.183722    0.028574
  10   2   2       21.666533  397.393223
  10   3   1       -0.009522    0.000077
  10   3   2        0.338743    0.097136
  10   3   3       21.818524  402.988234
  10   4   1        0.326241    0.090099
  10   4   2       -0.306631    0.079593
  10   4   3        0.075323    0.004803
  10   4   4       21.530707  392.426388
 
  E2 transition 
 
  I1  n1        I2  n2       <f||E2||i>   B(E2,I1->I2)  B(E2,I2->I1)
 ( 0   1) <--> ( 2   1)        0.563613      0.317659      0.063532   WU    81.205185     16.241037
 ( 0   1) <--> ( 2   2)        0.197403      0.038968      0.007794   WU     9.961618      1.992324
 ( 0   1) <--> ( 2   3)        0.074580      0.005562      0.001112   WU     1.421888      0.284378
 ( 0   1) <--> ( 2   4)       -0.006747      0.000046      0.000009   WU     0.011637      0.002327
 ( 0   1) <--> ( 2   5)       -0.001014      0.000001      0.000000   WU     0.000263      0.000053
 ( 0   1) <--> ( 2   6)       -0.017016      0.000290      0.000058   WU     0.074014      0.014803
 ( 0   1) <--> ( 2   7)        0.011838      0.000140      0.000028   WU     0.035823      0.007165
 ( 0   1) <--> ( 2   8)        0.006887      0.000047      0.000009   WU     0.012125      0.002425
 ( 0   1) <--> ( 2   9)       -0.008766      0.000077      0.000015   WU     0.019645      0.003929
 ( 0   1) <--> ( 2  10)        0.003619      0.000013      0.000003   WU     0.003349      0.000670
 ( 0   2) <--> ( 2   1)       -0.149028      0.022209      0.004442   WU     5.677543      1.135509
 ( 0   2) <--> ( 2   2)        0.296527      0.087928      0.017586   WU    22.477589      4.495518
 ( 0   2) <--> ( 2   3)       -0.508236      0.258304      0.051661   WU    66.031750     13.206350
 ( 0   2) <--> ( 2   4)        0.228270      0.052107      0.010421   WU    13.320516      2.664103
 ( 0   2) <--> ( 2   5)       -0.031866      0.001015      0.000203   WU     0.259587      0.051917
 ( 0   2) <--> ( 2   6)        0.108969      0.011874      0.002375   WU     3.035511      0.607102
 ( 0   2) <--> ( 2   7)        0.024943      0.000622      0.000124   WU     0.159047      0.031809
 ( 0   2) <--> ( 2   8)        0.021921      0.000481      0.000096   WU     0.122836      0.024567
 ( 0   2) <--> ( 2   9)        0.010440      0.000109      0.000022   WU     0.027860      0.005572
 ( 0   2) <--> ( 2  10)       -0.013586      0.000185      0.000037   WU     0.047186      0.009437
 ( 0   3) <--> ( 2   1)        0.134910      0.018201      0.003640   WU     4.652793      0.930559
 ( 0   3) <--> ( 2   2)        0.318721      0.101583      0.020317   WU    25.968264      5.193653
 ( 0   3) <--> ( 2   3)        0.424634      0.180314      0.036063   WU    46.094766      9.218953
 ( 0   3) <--> ( 2   4)        0.641743      0.411835      0.082367   WU   105.279804     21.055961
 ( 0   3) <--> ( 2   5)        0.205171      0.042095      0.008419   WU    10.760999      2.152200
 ( 0   3) <--> ( 2   6)        0.082839      0.006862      0.001372   WU     1.754241      0.350848
 ( 0   3) <--> ( 2   7)       -0.026808      0.000719      0.000144   WU     0.183717      0.036743
 ( 0   3) <--> ( 2   8)       -0.007815      0.000061      0.000012   WU     0.015612      0.003122
 ( 0   3) <--> ( 2   9)        0.026482      0.000701      0.000140   WU     0.179278      0.035856
 ( 0   3) <--> ( 2  10)       -0.011822      0.000140      0.000028   WU     0.035727      0.007145
 ( 0   4) <--> ( 2   1)        0.023167      0.000537      0.000107   WU     0.137201      0.027440
 ( 0   4) <--> ( 2   2)        0.033735      0.001138      0.000228   WU     0.290922      0.058184
 ( 0   4) <--> ( 2   3)       -0.377248      0.142316      0.028463   WU    36.381080      7.276216
 ( 0   4) <--> ( 2   4)       -0.335806      0.112766      0.022553   WU    28.827056      5.765411
 ( 0   4) <--> ( 2   5)       -0.325529      0.105969      0.021194   WU    27.089626      5.417925
 ( 0   4) <--> ( 2   6)        0.001218      0.000001      0.000000   WU     0.000379      0.000076
 ( 0   4) <--> ( 2   7)        0.840343      0.706177      0.141235   WU   180.524272     36.104854
 ( 0   4) <--> ( 2   8)        0.090204      0.008137      0.001627   WU     2.080034      0.416007
 ( 0   4) <--> ( 2   9)        0.090164      0.008130      0.001626   WU     2.078220      0.415644
 ( 0   4) <--> ( 2  10)        0.047309      0.002238      0.000448   WU     0.572139      0.114428
 ( 0   5) <--> ( 2   1)       -0.011046      0.000122      0.000024   WU     0.031189      0.006238
 ( 0   5) <--> ( 2   2)        0.013497      0.000182      0.000036   WU     0.046567      0.009313
 ( 0   5) <--> ( 2   3)       -0.093940      0.008825      0.001765   WU     2.255922      0.451184
 ( 0   5) <--> ( 2   4)        0.271573      0.073752      0.014750   WU    18.853719      3.770744
 ( 0   5) <--> ( 2   5)        0.435565      0.189717      0.037943   WU    48.498475      9.699695
 ( 0   5) <--> ( 2   6)        0.261928      0.068606      0.013721   WU    17.538286      3.507657
 ( 0   5) <--> ( 2   7)       -0.297509      0.088512      0.017702   WU    22.626753      4.525351
 ( 0   5) <--> ( 2   8)        0.711506      0.506240      0.101248   WU   129.413306     25.882661
 ( 0   5) <--> ( 2   9)       -0.262382      0.068844      0.013769   WU    17.599098      3.519820
 ( 0   5) <--> ( 2  10)        0.098561      0.009714      0.001943   WU     2.483308      0.496662
 ( 0   6) <--> ( 2   1)       -0.000879      0.000001      0.000000   WU     0.000198      0.000040
 ( 0   6) <--> ( 2   2)       -0.007177      0.000052      0.000010   WU     0.013168      0.002634
 ( 0   6) <--> ( 2   3)       -0.010866      0.000118      0.000024   WU     0.030182      0.006036
 ( 0   6) <--> ( 2   4)        0.051029      0.002604      0.000521   WU     0.665678      0.133136
 ( 0   6) <--> ( 2   5)       -0.048457      0.002348      0.000470   WU     0.600259      0.120052
 ( 0   6) <--> ( 2   6)        0.542354      0.294148      0.058830   WU    75.194925     15.038985
 ( 0   6) <--> ( 2   7)       -0.146869      0.021571      0.004314   WU     5.514223      1.102845
 ( 0   6) <--> ( 2   8)        0.193758      0.037542      0.007508   WU     9.597095      1.919419
 ( 0   6) <--> ( 2   9)       -0.101929      0.010390      0.002078   WU     2.655954      0.531191
 ( 0   6) <--> ( 2  10)        0.230585      0.053170      0.010634   WU    13.592089      2.718418
 ( 0   7) <--> ( 2   1)        0.005363      0.000029      0.000006   WU     0.007352      0.001470
 ( 0   7) <--> ( 2   2)        0.008194      0.000067      0.000013   WU     0.017163      0.003433
 ( 0   7) <--> ( 2   3)        0.007902      0.000062      0.000012   WU     0.015962      0.003192
 ( 0   7) <--> ( 2   4)        0.016548      0.000274      0.000055   WU     0.070001      0.014000
 ( 0   7) <--> ( 2   5)        0.041124      0.001691      0.000338   WU     0.432330      0.086466
 ( 0   7) <--> ( 2   6)       -0.025977      0.000675      0.000135   WU     0.172499      0.034500
 ( 0   7) <--> ( 2   7)       -0.597795      0.357359      0.071472   WU    91.354003     18.270801
 ( 0   7) <--> ( 2   8)       -0.103273      0.010665      0.002133   WU     2.726461      0.545292
 ( 0   7) <--> ( 2   9)       -0.279476      0.078107      0.015621   WU    19.966921      3.993384
 ( 0   7) <--> ( 2  10)       -0.152913      0.023382      0.004676   WU     5.977396      1.195479
 ( 0   8) <--> ( 2   1)       -0.009075      0.000082      0.000016   WU     0.021053      0.004211
 ( 0   8) <--> ( 2   2)       -0.002095      0.000004      0.000001   WU     0.001122      0.000224
 ( 0   8) <--> ( 2   3)       -0.007027      0.000049      0.000010   WU     0.012623      0.002525
 ( 0   8) <--> ( 2   4)        0.028715      0.000825      0.000165   WU     0.210792      0.042158
 ( 0   8) <--> ( 2   5)       -0.025039      0.000627      0.000125   WU     0.160270      0.032054
 ( 0   8) <--> ( 2   6)       -0.000719      0.000001      0.000000   WU     0.000132      0.000026
 ( 0   8) <--> ( 2   7)        0.098137      0.009631      0.001926   WU     2.462001      0.492400
 ( 0   8) <--> ( 2   8)       -0.310389      0.096341      0.019268   WU    24.628335      4.925667
 ( 0   8) <--> ( 2   9)        0.480019      0.230418      0.046084   WU    58.903233     11.780647
 ( 0   8) <--> ( 2  10)       -0.191051      0.036501      0.007300   WU     9.330865      1.866173
 ( 0   9) <--> ( 2   1)       -0.002857      0.000008      0.000002   WU     0.002086      0.000417
 ( 0   9) <--> ( 2   2)        0.000649      0.000000      0.000000   WU     0.000108      0.000022
 ( 0   9) <--> ( 2   3)       -0.007815      0.000061      0.000012   WU     0.015612      0.003122
 ( 0   9) <--> ( 2   4)       -0.006909      0.000048      0.000010   WU     0.012203      0.002441
 ( 0   9) <--> ( 2   5)       -0.007283      0.000053      0.000011   WU     0.013558      0.002712
 ( 0   9) <--> ( 2   6)        0.002743      0.000008      0.000002   WU     0.001923      0.000385
 ( 0   9) <--> ( 2   7)        0.003520      0.000012      0.000002   WU     0.003168      0.000634
 ( 0   9) <--> ( 2   8)        0.027904      0.000779      0.000156   WU     0.199051      0.039810
 ( 0   9) <--> ( 2   9)       -0.035279      0.001245      0.000249   WU     0.318168      0.063634
 ( 0   9) <--> ( 2  10)        0.531484      0.282475      0.056495   WU    72.210826     14.442165
 ( 0  10) <--> ( 2   1)        0.000849      0.000001      0.000000   WU     0.000184      0.000037
 ( 0  10) <--> ( 2   2)        0.001031      0.000001      0.000000   WU     0.000272      0.000054
 ( 0  10) <--> ( 2   3)       -0.005338      0.000028      0.000006   WU     0.007284      0.001457
 ( 0  10) <--> ( 2   4)       -0.007998      0.000064      0.000013   WU     0.016351      0.003270
 ( 0  10) <--> ( 2   5)       -0.011956      0.000143      0.000029   WU     0.036540      0.007308
 ( 0  10) <--> ( 2   6)       -0.007370      0.000054      0.000011   WU     0.013885      0.002777
 ( 0  10) <--> ( 2   7)        0.029956      0.000897      0.000179   WU     0.229404      0.045881
 ( 0  10) <--> ( 2   8)       -0.016261      0.000264      0.000053   WU     0.067594      0.013519
 ( 0  10) <--> ( 2   9)        0.071577      0.005123      0.001025   WU     1.309691      0.261938
 ( 0  10) <--> ( 2  10)        0.009924      0.000098      0.000020   WU     0.025178      0.005036
 ( 2   1) <--> ( 2   1)        0.267946      0.203085   (eb)
 ( 2   2) <--> ( 2   1)       -0.698649      0.097622      0.097622   WU    24.955756     24.955756
 ( 2   2) <--> ( 2   2)       -0.306836     -0.232561   (eb)
 ( 2   3) <--> ( 2   1)       -0.024841      0.000123      0.000123   WU     0.031548      0.031548
 ( 2   3) <--> ( 2   2)       -0.207120      0.008580      0.008580   WU     2.193287      2.193287
 ( 2   3) <--> ( 2   3)       -0.066347     -0.050286   (eb)
 ( 2   4) <--> ( 2   1)        0.040792      0.000333      0.000333   WU     0.085075      0.085075
 ( 2   4) <--> ( 2   2)       -0.213709      0.009134      0.009134   WU     2.335052      2.335052
 ( 2   4) <--> ( 2   3)       -0.162201      0.005262      0.005262   WU     1.345116      1.345116
 ( 2   4) <--> ( 2   4)       -0.129169     -0.097901   (eb)
 ( 2   5) <--> ( 2   1)       -0.063698      0.000811      0.000811   WU     0.207446      0.207446
 ( 2   5) <--> ( 2   2)        0.043498      0.000378      0.000378   WU     0.096734      0.096734
 ( 2   5) <--> ( 2   3)       -0.871092      0.151760      0.151760   WU    38.795446     38.795446
 ( 2   5) <--> ( 2   4)       -0.521671      0.054428      0.054428   WU    13.913786     13.913786
 ( 2   5) <--> ( 2   5)       -0.061824     -0.046858   (eb)
 ( 2   6) <--> ( 2   1)        0.030440      0.000185      0.000185   WU     0.047375      0.047375
 ( 2   6) <--> ( 2   2)       -0.018540      0.000069      0.000069   WU     0.017574      0.017574
 ( 2   6) <--> ( 2   3)        0.261962      0.013725      0.013725   WU     3.508568      3.508568
 ( 2   6) <--> ( 2   4)       -0.933275      0.174201      0.174201   WU    44.531968     44.531968
 ( 2   6) <--> ( 2   5)        0.166489      0.005544      0.005544   WU     1.417183      1.417183
 ( 2   6) <--> ( 2   6)       -0.015752     -0.011939   (eb)
 ( 2   7) <--> ( 2   1)       -0.005929      0.000007      0.000007   WU     0.001797      0.001797
 ( 2   7) <--> ( 2   2)       -0.058521      0.000685      0.000685   WU     0.175094      0.175094
 ( 2   7) <--> ( 2   3)        0.000911      0.000000      0.000000   WU     0.000042      0.000042
 ( 2   7) <--> ( 2   4)        0.122691      0.003011      0.003011   WU     0.769617      0.769617
 ( 2   7) <--> ( 2   5)        0.549479      0.060386      0.060386   WU    15.436721     15.436721
 ( 2   7) <--> ( 2   6)        0.270019      0.014582      0.014582   WU     3.727698      3.727698
 ( 2   7) <--> ( 2   7)       -0.607139     -0.460171   (eb)
 ( 2   8) <--> ( 2   1)       -0.010246      0.000021      0.000021   WU     0.005368      0.005368
 ( 2   8) <--> ( 2   2)        0.007742      0.000012      0.000012   WU     0.003064      0.003064
 ( 2   8) <--> ( 2   3)        0.006578      0.000009      0.000009   WU     0.002212      0.002212
 ( 2   8) <--> ( 2   4)        0.034367      0.000236      0.000236   WU     0.060385      0.060385
 ( 2   8) <--> ( 2   5)       -0.011118      0.000025      0.000025   WU     0.006320      0.006320
 ( 2   8) <--> ( 2   6)       -0.464390      0.043132      0.043132   WU    11.026000     11.026000
 ( 2   8) <--> ( 2   7)       -0.046338      0.000429      0.000429   WU     0.109782      0.109782
 ( 2   8) <--> ( 2   8)       -0.014482     -0.010977   (eb)
 ( 2   9) <--> ( 2   1)       -0.008563      0.000015      0.000015   WU     0.003749      0.003749
 ( 2   9) <--> ( 2   2)        0.013228      0.000035      0.000035   WU     0.008946      0.008946
 ( 2   9) <--> ( 2   3)        0.068642      0.000942      0.000942   WU     0.240896      0.240896
 ( 2   9) <--> ( 2   4)        0.003137      0.000002      0.000002   WU     0.000503      0.000503
 ( 2   9) <--> ( 2   5)       -0.053516      0.000573      0.000573   WU     0.146429      0.146429
 ( 2   9) <--> ( 2   6)       -0.076420      0.001168      0.001168   WU     0.298584      0.298584
 ( 2   9) <--> ( 2   7)       -1.003849      0.201543      0.201543   WU    51.521576     51.521576
 ( 2   9) <--> ( 2   8)        0.311472      0.019403      0.019403   WU     4.960099      4.960099
 ( 2   9) <--> ( 2   9)        0.381878      0.289438   (eb)
 ( 2  10) <--> ( 2   1)       -0.011814      0.000028      0.000028   WU     0.007136      0.007136
 ( 2  10) <--> ( 2   2)        0.003168      0.000002      0.000002   WU     0.000513      0.000513
 ( 2  10) <--> ( 2   3)        0.027977      0.000157      0.000157   WU     0.040019      0.040019
 ( 2  10) <--> ( 2   4)        0.008690      0.000015      0.000015   WU     0.003861      0.003861
 ( 2  10) <--> ( 2   5)        0.004140      0.000003      0.000003   WU     0.000876      0.000876
 ( 2  10) <--> ( 2   6)       -0.015943      0.000051      0.000051   WU     0.012995      0.012995
 ( 2  10) <--> ( 2   7)       -0.002876      0.000002      0.000002   WU     0.000423      0.000423
 ( 2  10) <--> ( 2   8)       -1.102514      0.243107      0.243107   WU    62.147012     62.147012
 ( 2  10) <--> ( 2   9)       -0.002885      0.000002      0.000002   WU     0.000425      0.000425
 ( 2  10) <--> ( 2  10)        0.035349      0.026792   (eb)
 ( 2   1) <--> ( 3   1)        0.308701      0.019059      0.013614   WU     4.872250      3.480179
 ( 2   1) <--> ( 3   2)       -0.004957      0.000005      0.000004   WU     0.001256      0.000897
 ( 2   1) <--> ( 3   3)       -0.026231      0.000138      0.000098   WU     0.035178      0.025127
 ( 2   1) <--> ( 3   4)       -0.010243      0.000021      0.000015   WU     0.005364      0.003831
 ( 2   1) <--> ( 3   5)        0.011677      0.000027      0.000019   WU     0.006971      0.004979
 ( 2   1) <--> ( 3   6)       -0.003073      0.000002      0.000001   WU     0.000483      0.000345
 ( 2   1) <--> ( 3   7)       -0.001696      0.000001      0.000000   WU     0.000147      0.000105
 ( 2   1) <--> ( 3   8)        0.007140      0.000010      0.000007   WU     0.002607      0.001862
 ( 2   1) <--> ( 3   9)       -0.010113      0.000020      0.000015   WU     0.005229      0.003735
 ( 2   1) <--> ( 3  10)        0.003573      0.000003      0.000002   WU     0.000653      0.000466
 ( 2   2) <--> ( 3   1)       -0.779176      0.121423      0.086731   WU    31.040106     22.171504
 ( 2   2) <--> ( 3   2)       -0.044572      0.000397      0.000284   WU     0.101572      0.072551
 ( 2   2) <--> ( 3   3)        0.036957      0.000273      0.000195   WU     0.069830      0.049878
 ( 2   2) <--> ( 3   4)       -0.006595      0.000009      0.000006   WU     0.002224      0.001588
 ( 2   2) <--> ( 3   5)       -0.018639      0.000069      0.000050   WU     0.017763      0.012688
 ( 2   2) <--> ( 3   6)       -0.002972      0.000002      0.000001   WU     0.000452      0.000323
 ( 2   2) <--> ( 3   7)       -0.005735      0.000007      0.000005   WU     0.001682      0.001201
 ( 2   2) <--> ( 3   8)       -0.006558      0.000009      0.000006   WU     0.002199      0.001571
 ( 2   2) <--> ( 3   9)        0.001890      0.000001      0.000001   WU     0.000183      0.000130
 ( 2   2) <--> ( 3  10)       -0.004529      0.000004      0.000003   WU     0.001049      0.000749
 ( 2   3) <--> ( 3   1)       -0.256428      0.013151      0.009394   WU     3.361883      2.401345
 ( 2   3) <--> ( 3   2)        0.137448      0.003778      0.002699   WU     0.965900      0.689929
 ( 2   3) <--> ( 3   3)       -0.117027      0.002739      0.001956   WU     0.700203      0.500145
 ( 2   3) <--> ( 3   4)       -0.021804      0.000095      0.000068   WU     0.024306      0.017361
 ( 2   3) <--> ( 3   5)        0.016340      0.000053      0.000038   WU     0.013651      0.009751
 ( 2   3) <--> ( 3   6)       -0.014153      0.000040      0.000029   WU     0.010241      0.007315
 ( 2   3) <--> ( 3   7)        0.001219      0.000000      0.000000   WU     0.000076      0.000054
 ( 2   3) <--> ( 3   8)        0.010848      0.000024      0.000017   WU     0.006016      0.004297
 ( 2   3) <--> ( 3   9)       -0.012534      0.000031      0.000022   WU     0.008032      0.005737
 ( 2   3) <--> ( 3  10)        0.004491      0.000004      0.000003   WU     0.001031      0.000737
 ( 2   4) <--> ( 3   1)        0.640503      0.082049      0.058606   WU    20.974635     14.981882
 ( 2   4) <--> ( 3   2)        0.324628      0.021077      0.015055   WU     5.387947      3.848533
 ( 2   4) <--> ( 3   3)        0.180835      0.006540      0.004672   WU     1.671935      1.194239
 ( 2   4) <--> ( 3   4)        0.040081      0.000321      0.000230   WU     0.082136      0.058669
