 ********* BEGIN READER ****************************
 
 Nucleus            :  Ra  88 242
 Imin, Imax         :     0  10
 imu, remu          :     1 12.0000
  10   4    5.337680
  10   5    5.553007
  10   6    5.611582
  10   7    5.753127
  10   8    5.920787
  10   9    5.946252
  10  10    6.190099
 
 ********* END LEVELS **********************
 
 ********* BEGIN Transition ************************
 
  Monopole moment 
 
   I   n    <In|E0|In>   ave \beta      del<b>   ave \gamma    del<g>  
     K=0       K=2       K=4   
   0   1     40.807779    0.142412    0.039403   31.392927   10.735970  100.0000    0.0000    0.0000
   0   2     40.950643    0.171949    0.060139   35.812252    9.376935  100.0000    0.0000    0.0000
   0   3     41.043546    0.189422    0.048735   21.258066   12.370111  100.0000    0.0000    0.0000
   0   4     41.405240    0.248891    0.086304   29.831844   10.499094  100.0000    0.0000    0.0000
   2   1     40.899622    0.157444    0.038213   33.148764   10.366345   54.0294   45.9706    0.0000
   2   2     40.954860    0.168976    0.039501   28.923485   10.358418   49.4606   50.5394    0.0000
   2   3     41.079758    0.195042    0.063296   33.614791    9.597742   63.9147   36.0853    0.0000
   2   4     41.252146    0.224038    0.068509   30.293939    9.017624   36.5849   63.4151    0.0000
   3   1     41.042577    0.184257    0.040356   30.272329    8.479360    0.0000  100.0000    0.0000
   3   2     41.634131    0.279623    0.080192   27.126158    9.130667    0.0000  100.0000    0.0000
   3   3     42.452301    0.370275    0.107289   20.750526   10.029665    0.0000   99.9999    0.0000
   3   4     42.981558    0.414120    0.102552   22.236531   14.110849    0.0000   99.9998    0.0000
   4   1     40.975556    0.169894    0.037940   34.087663   10.080731   40.0383   37.5827   22.3790
   4   2     41.029755    0.181804    0.040700   29.487166   11.191404   52.6986    3.7120   43.5894
   4   3     41.146770    0.204316    0.053457   29.922356    8.764189   21.6870   54.4675   23.8456
   4   4     41.233213    0.220390    0.067555   30.198051   10.548289   45.0540   32.0784   22.8676
   5   1     41.126572    0.198834    0.043669   30.848748    8.331004    0.0000   59.1518   40.8482
   5   2     41.272019    0.226068    0.060027   27.676510    9.000651    0.0000   43.3341   56.6659
   5   3     42.129581    0.336582    0.083799   24.512649    9.651101    0.0000   73.9165   26.0835
   5   4     42.566307    0.380381    0.093458   21.627037   10.568160    0.0000   40.7738   59.2261
   6   1     41.044733    0.181550    0.038674   34.404947    9.802617   33.0464   36.9314   17.7837
   6   2     41.112782    0.196009    0.044049   29.941938   11.792522   48.0277    4.3641   13.4232
   6   3     41.575441    0.270473    0.082935   27.879624   10.996730   41.7017   41.0891   11.4913
   6   4     41.450019    0.254818    0.109844   21.461786   15.106089   41.0421   23.7409    2.4306
   7   1     41.245798    0.219209    0.053471   30.600485    8.500055    0.0000   41.3372   41.5972
   7   2     42.543331    0.379968    0.086628   20.958830    9.925357    0.0000   76.9108   17.2575
   7   3     41.919005    0.308737    0.089899   28.224971    8.929471    0.0000   30.9003   28.3783
   7   4     42.719247    0.398336    0.124530   17.613097   11.767273    0.0000   56.0134   24.3736
   8   1     41.116261    0.193961    0.041125   34.243047    9.510269   28.9631   36.6903   18.2401
   8   2     41.378871    0.242211    0.092813   24.251250   14.241687   47.4297   10.9676    5.7869
   8   3     42.349497    0.361769    0.121414   19.606675   14.407492   53.5914   29.2740    9.6095
   8   4     43.678416    0.488533    0.123482   10.615721   13.955121   76.1156   14.1523    6.3895
   9   1     41.703870    0.285714    0.089590   26.496886   10.283530    0.0000   38.7025   38.0776
   9   2     42.787064    0.403892    0.109511   17.989586   10.442512    0.0000   70.9916   18.2199
   9   3     42.961860    0.410936    0.091342   23.674228   12.063576    0.0000   27.9084   35.8935
   9   4     43.116624    0.433649    0.124589   18.099741   13.706960    0.0000   53.9505    8.4191
  10   1     41.212072    0.210762    0.049092   33.290735    9.471964   26.6550   36.5970   18.9908
  10   2     43.788747    0.496634    0.099951   10.883142   12.678187   85.4474   11.7640    1.7318
  10   3     43.225514    0.446868    0.132281   15.332261   15.592671   52.7092   32.3771   10.0648
  10   4     41.966486    0.313529    0.120828   26.319680   15.329564   39.1548   13.1026   13.0521
 
  rho^2(E0) 
 
   I  n_1 n_2  <In_1|E0|In_2>  rho^2(E0) 
   0   1   1       40.807779 2727.140932
   0   2   1       -0.209465    0.071853
   0   2   2       40.950643 2746.269290
   0   3   1        0.051765    0.004388
   0   3   2        0.032552    0.001735
   0   3   3       41.043546 2758.744111
   0   4   1       -0.022927    0.000861
   0   4   2       -0.285774    0.133742
   0   4   3        0.105928    0.018376
   0   4   4       41.405240 2807.580906
   2   1   1       40.899622 2739.430212
   2   2   1       -0.042656    0.002980
   2   2   2       40.954860 2746.834885
   2   3   1       -0.203992    0.068147
   2   3   2       -0.007981    0.000104
   2   3   3       41.079758 2763.614168
   2   4   1        0.026913    0.001186
   2   4   2       -0.180436    0.053317
   2   4   3       -0.027458    0.001235
   2   4   4       41.252146 2786.857424
   3   1   1       41.042577 2758.613772
   3   2   1       -0.195778    0.062770
   3   2   2       41.634131 2838.707610
   3   3   1       -0.077598    0.009861
   3   3   2       -0.573156    0.537981
   3   3   3       42.452301 2951.373165
   3   4   1       -0.022793    0.000851
   3   4   2       -0.161617    0.042776
   3   4   3       -0.365256    0.218482
   3   4   4       42.981558 3025.422034
   4   1   1       40.975556 2749.611800
   4   2   1       -0.050413    0.004162
   4   2   2       41.029755 2756.890460
   4   3   1       -0.096034    0.015103
   4   3   2       -0.038061    0.002372
   4   3   3       41.146770 2772.637931
   4   4   1       -0.173582    0.049343
   4   4   2        0.016351    0.000438
   4   4   3        0.060370    0.005968
   4   4   4       41.233213 2784.299936
   5   1   1       41.126572 2769.916612
   5   2   1       -0.017409    0.000496
   5   2   2       41.272019 2789.543142
   5   3   1       -0.202178    0.066940
   5   3   2       -0.091975    0.013854
   5   3   3       42.129581 2906.671412
   5   4   1        0.054829    0.004923
   5   4   2       -0.322081    0.169884
   5   4   3        0.247964    0.100693
   5   4   4       42.566307 2967.246368
   6   1   1       41.044733 2758.903670
   6   2   1       -0.049759    0.004055
   6   2   2       41.112782 2768.059283
   6   3   1       -0.185014    0.056057
   6   3   2       -0.036088    0.002133
   6   3   3       41.575441 2830.710076
   6   4   1       -0.023718    0.000921
   6   4   2        0.019801    0.000642
   6   4   3        0.183941    0.055409
   6   4   4       41.450019 2813.656843
   7   1   1       41.245798 2785.999773
   7   2   1       -0.244423    0.097837
   7   2   2       42.543331 2964.044051
   7   3   1       -0.153456    0.038565
   7   3   2        0.152266    0.037969
   7   3   3       41.919005 2877.687317
   7   4   1        0.050617    0.004196
   7   4   2        0.575184    0.541796
   7   4   3       -0.517395    0.438395
   7   4   4       42.719247 2988.607270
   8   1   1       41.116261 2768.527792
   8   2   1       -0.000161    0.000000
   8   2   2       41.378871 2804.005993
   8   3   1       -0.169466    0.047031
   8   3   2       -0.421157    0.290475
   8   3   3       42.349497 2937.096288
   8   4   1       -0.097836    0.015675
   8   4   2        0.309628    0.157001
   8   4   3       -0.842163    1.161486
   8   4   4       43.678416 3124.319330
   9   1   1       41.703870 2848.225586
   9   2   1       -0.642069    0.675127
   9   2   2       42.787064 2998.103646
   9   3   1        0.256901    0.108082
   9   3   2        0.369839    0.223999
   9   3   3       42.961860 3022.649691
   9   4   1       -0.114019    0.021290
   9   4   2        0.647148    0.685850
   9   4   3        0.356623    0.208276
   9   4   4       43.116624 3044.466177
  10   1   1       41.212072 2781.445548
  10   2   1        0.137449    0.030939
  10   2   2       43.788747 3140.123290
  10   3   1       -0.175996    0.050725
  10   3   2        0.994718    1.620399
  10   3   3       43.225514 3059.863153
  10   4   1       -0.106433    0.018551
  10   4   2       -0.377006    0.232765
  10   4   3       -0.100674    0.016598
  10   4   4       41.966486 2884.209902
 
  E2 transition 
 
  I1  n1        I2  n2       <f||E2||i>   B(E2,I1->I2)  B(E2,I2->I1)
 ( 0   1) <--> ( 2   1)        1.728552      2.987893      0.597579   WU   220.576832     44.115366
 ( 0   1) <--> ( 2   2)        0.640118      0.409751      0.081950   WU    30.249292      6.049858
 ( 0   1) <--> ( 2   3)       -0.206539      0.042658      0.008532   WU     3.149191      0.629838
 ( 0   1) <--> ( 2   4)        0.019685      0.000387      0.000077   WU     0.028606      0.005721
 ( 0   1) <--> ( 2   5)       -0.052042      0.002708      0.000542   WU     0.199943      0.039989
 ( 0   1) <--> ( 2   6)       -0.024856      0.000618      0.000124   WU     0.045609      0.009122
 ( 0   1) <--> ( 2   7)        0.006072      0.000037      0.000007   WU     0.002722      0.000544
 ( 0   1) <--> ( 2   8)       -0.020649      0.000426      0.000085   WU     0.031476      0.006295
 ( 0   1) <--> ( 2   9)       -0.024372      0.000594      0.000119   WU     0.043852      0.008770
 ( 0   1) <--> ( 2  10)        0.029872      0.000892      0.000178   WU     0.065874      0.013175
 ( 0   2) <--> ( 2   1)       -0.774089      0.599214      0.119843   WU    44.236107      8.847221
 ( 0   2) <--> ( 2   2)        0.213782      0.045703      0.009141   WU     3.373938      0.674788
 ( 0   2) <--> ( 2   3)        1.966942      3.868859      0.773772   WU   285.612904     57.122581
 ( 0   2) <--> ( 2   4)        0.459850      0.211462      0.042292   WU    15.610845      3.122169
 ( 0   2) <--> ( 2   5)        0.022185      0.000492      0.000098   WU     0.036335      0.007267
 ( 0   2) <--> ( 2   6)       -0.066045      0.004362      0.000872   WU     0.322012      0.064402
 ( 0   2) <--> ( 2   7)        0.123565      0.015268      0.003054   WU     1.127162      0.225432
 ( 0   2) <--> ( 2   8)        0.008480      0.000072      0.000014   WU     0.005308      0.001062
 ( 0   2) <--> ( 2   9)        0.041113      0.001690      0.000338   WU     0.124782      0.024956
 ( 0   2) <--> ( 2  10)        0.077361      0.005985      0.001197   WU     0.441810      0.088362
 ( 0   3) <--> ( 2   1)        0.219282      0.048085      0.009617   WU     3.549776      0.709955
 ( 0   3) <--> ( 2   2)        1.083238      1.173404      0.234681   WU    86.624873     17.324975
 ( 0   3) <--> ( 2   3)       -0.381443      0.145499      0.029100   WU    10.741245      2.148249
 ( 0   3) <--> ( 2   4)        0.439060      0.192774      0.038555   WU    14.231268      2.846254
 ( 0   3) <--> ( 2   5)        2.123879      4.510862      0.902172   WU   333.007819     66.601564
 ( 0   3) <--> ( 2   6)       -0.485509      0.235719      0.047144   WU    17.401587      3.480317
 ( 0   3) <--> ( 2   7)        0.041927      0.001758      0.000352   WU     0.129774      0.025955
 ( 0   3) <--> ( 2   8)        0.027707      0.000768      0.000154   WU     0.056675      0.011335
 ( 0   3) <--> ( 2   9)        0.349822      0.122376      0.024475   WU     9.034194      1.806839
 ( 0   3) <--> ( 2  10)       -0.141742      0.020091      0.004018   WU     1.483182      0.296636
 ( 0   4) <--> ( 2   1)       -0.021531      0.000464      0.000093   WU     0.034222      0.006844
 ( 0   4) <--> ( 2   2)       -0.109841      0.012065      0.002413   WU     0.890690      0.178138
 ( 0   4) <--> ( 2   3)       -1.351809      1.827386      0.365477   WU   134.904129     26.980826
 ( 0   4) <--> ( 2   4)       -0.028177      0.000794      0.000159   WU     0.058611      0.011722
 ( 0   4) <--> ( 2   5)        1.116875      1.247410      0.249482   WU    92.088194     18.417639
 ( 0   4) <--> ( 2   6)        2.652282      7.034599      1.406920   WU   519.319005    103.863801
 ( 0   4) <--> ( 2   7)        0.148227      0.021971      0.004394   WU     1.622001      0.324400
 ( 0   4) <--> ( 2   8)        0.595042      0.354075      0.070815   WU    26.139038      5.227808
 ( 0   4) <--> ( 2   9)       -0.040780      0.001663      0.000333   WU     0.122769      0.024554
 ( 0   4) <--> ( 2  10)       -0.196306      0.038536      0.007707   WU     2.844860      0.568972
 ( 0   5) <--> ( 2   1)        0.031776      0.001010      0.000202   WU     0.074541      0.014908
 ( 0   5) <--> ( 2   2)        0.019538      0.000382      0.000076   WU     0.028182      0.005636
 ( 0   5) <--> ( 2   3)       -0.163945      0.026878      0.005376   WU     1.984229      0.396846
 ( 0   5) <--> ( 2   4)        0.465782      0.216953      0.043391   WU    16.016226      3.203245
 ( 0   5) <--> ( 2   5)       -1.623221      2.634846      0.526969   WU   194.513659     38.902732
 ( 0   5) <--> ( 2   6)       -2.560938      6.558401      1.311680   WU   484.164397     96.832879
 ( 0   5) <--> ( 2   7)       -2.714821      7.370253      1.474051   WU   544.098133    108.819627
 ( 0   5) <--> ( 2   8)        3.547673     12.585985      2.517197   WU   929.141963    185.828393
 ( 0   5) <--> ( 2   9)       -0.124605      0.015526      0.003105   WU     1.146210      0.229242
 ( 0   5) <--> ( 2  10)       -0.816736      0.667057      0.133411   WU    49.244531      9.848906
 ( 0   6) <--> ( 2   1)        0.026100      0.000681      0.000136   WU     0.050291      0.010058
 ( 0   6) <--> ( 2   2)        0.008365      0.000070      0.000014   WU     0.005166      0.001033
 ( 0   6) <--> ( 2   3)       -0.050263      0.002526      0.000505   WU     0.186504      0.037301
 ( 0   6) <--> ( 2   4)        0.208022      0.043273      0.008655   WU     3.194582      0.638916
 ( 0   6) <--> ( 2   5)       -0.443990      0.197128      0.039426   WU    14.552652      2.910530
 ( 0   6) <--> ( 2   6)       -0.025903      0.000671      0.000134   WU     0.049531      0.009906
 ( 0   6) <--> ( 2   7)        2.572051      6.615446      1.323089   WU   488.375623     97.675125
 ( 0   6) <--> ( 2   8)       -4.326147     18.715549      3.743110   WU  1381.648105    276.329621
 ( 0   6) <--> ( 2   9)       -1.724338      2.973341      0.594668   WU   219.502534     43.900507
 ( 0   6) <--> ( 2  10)       -4.152883     17.246438      3.449288   WU  1273.193104    254.638621
 ( 0   7) <--> ( 2   1)        0.025327      0.000641      0.000128   WU     0.047355      0.009471
 ( 0   7) <--> ( 2   2)        0.023710      0.000562      0.000112   WU     0.041500      0.008300
 ( 0   7) <--> ( 2   3)        0.149517      0.022355      0.004471   WU     1.650348      0.330070
 ( 0   7) <--> ( 2   4)        0.541460      0.293179      0.058636   WU    21.643506      4.328701
 ( 0   7) <--> ( 2   5)       -0.655917      0.430227      0.086045   WU    31.760904      6.352181
 ( 0   7) <--> ( 2   6)        1.457264      2.123619      0.424724   WU   156.773102     31.354620
 ( 0   7) <--> ( 2   7)       -0.072000      0.005184      0.001037   WU     0.382705      0.076541
 ( 0   7) <--> ( 2   8)       -0.111702      0.012477      0.002495   WU     0.921123      0.184225
 ( 0   7) <--> ( 2   9)       -0.148479      0.022046      0.004409   WU     1.627504      0.325501
 ( 0   7) <--> ( 2  10)        0.070574      0.004981      0.000996   WU     0.367692      0.073538
 ( 0   8) <--> ( 2   1)        0.026519      0.000703      0.000141   WU     0.051918      0.010384
 ( 0   8) <--> ( 2   2)       -0.007185      0.000052      0.000010   WU     0.003811      0.000762
 ( 0   8) <--> ( 2   3)        0.041507      0.001723      0.000345   WU     0.127187      0.025437
 ( 0   8) <--> ( 2   4)        0.222354      0.049441      0.009888   WU     3.649936      0.729987
 ( 0   8) <--> ( 2   5)       -0.231547      0.053614      0.010723   WU     3.957987      0.791597
 ( 0   8) <--> ( 2   6)        0.125880      0.015846      0.003169   WU     1.169785      0.233957
 ( 0   8) <--> ( 2   7)        0.577287      0.333260      0.066652   WU    24.602465      4.920493
 ( 0   8) <--> ( 2   8)        0.856797      0.734102      0.146820   WU    54.193975     10.838795
 ( 0   8) <--> ( 2   9)        1.084005      1.175066      0.235013   WU    86.747569     17.349514
 ( 0   8) <--> ( 2  10)        3.382141     11.438878      2.287776   WU   844.458463    168.891693
 ( 0   9) <--> ( 2   1)        0.001215      0.000001      0.000000   WU     0.000109      0.000022
 ( 0   9) <--> ( 2   2)       -0.000908      0.000001      0.000000   WU     0.000061      0.000012
 ( 0   9) <--> ( 2   3)       -0.078991      0.006240      0.001248   WU     0.460623      0.092125
 ( 0   9) <--> ( 2   4)       -0.117747      0.013864      0.002773   WU     1.023507      0.204701
 ( 0   9) <--> ( 2   5)        0.131435      0.017275      0.003455   WU     1.275321      0.255064
 ( 0   9) <--> ( 2   6)       -0.311050      0.096752      0.019350   WU     7.142593      1.428519
 ( 0   9) <--> ( 2   7)        0.003067      0.000009      0.000002   WU     0.000695      0.000139
 ( 0   9) <--> ( 2   8)       -0.469769      0.220683      0.044137   WU    16.291618      3.258324
 ( 0   9) <--> ( 2   9)        0.684208      0.468141      0.093628   WU    34.559808      6.911962
 ( 0   9) <--> ( 2  10)        1.072245      1.149709      0.229942   WU    84.875618     16.975124
 ( 0  10) <--> ( 2   1)       -0.011238      0.000126      0.000025   WU     0.009324      0.001865
 ( 0  10) <--> ( 2   2)       -0.049726      0.002473      0.000495   WU     0.182540      0.036508
 ( 0  10) <--> ( 2   3)        0.062812      0.003945      0.000789   WU     0.291257      0.058251
 ( 0  10) <--> ( 2   4)        0.210806      0.044439      0.008888   WU     3.280643      0.656129
 ( 0  10) <--> ( 2   5)        0.080549      0.006488      0.001298   WU     0.478981      0.095796
 ( 0  10) <--> ( 2   6)       -0.148787      0.022137      0.004427   WU     1.634265      0.326853
 ( 0  10) <--> ( 2   7)        0.176484      0.031147      0.006229   WU     2.299365      0.459873
 ( 0  10) <--> ( 2   8)        0.361868      0.130949      0.026190   WU     9.667091      1.933418
 ( 0  10) <--> ( 2   9)        1.053138      1.109101      0.221820   WU    81.877728     16.375546
 ( 0  10) <--> ( 2  10)       -1.054593      1.112167      0.222433   WU    82.104136     16.420827
 ( 2   1) <--> ( 2   1)        0.628403      0.476287   (eb)
 ( 2   2) <--> ( 2   1)       -2.333686      1.089219      1.089219   WU    80.409966     80.409966
 ( 2   2) <--> ( 2   2)       -0.583630     -0.442352   (eb)
 ( 2   3) <--> ( 2   1)        0.067625      0.000915      0.000915   WU     0.067522      0.067522
 ( 2   3) <--> ( 2   2)        0.923711      0.170648      0.170648   WU    12.597863     12.597863
 ( 2   3) <--> ( 2   3)        0.069084      0.052361   (eb)
 ( 2   4) <--> ( 2   1)        0.154481      0.004773      0.004773   WU     0.352351      0.352351
 ( 2   4) <--> ( 2   2)       -0.342566      0.023470      0.023470   WU     1.732661      1.732661
 ( 2   4) <--> ( 2   3)       -2.583577      1.334974      1.334974   WU    98.552517     98.552517
 ( 2   4) <--> ( 2   4)        0.283897      0.215175   (eb)
 ( 2   5) <--> ( 2   1)       -0.006229      0.000008      0.000008   WU     0.000573      0.000573
 ( 2   5) <--> ( 2   2)       -0.483123      0.046682      0.046682   WU     3.446205      3.446205
 ( 2   5) <--> ( 2   3)        1.080639      0.233556      0.233556   WU    17.241932     17.241932
 ( 2   5) <--> ( 2   4)        0.666580      0.088866      0.088866   WU     6.560395      6.560395
 ( 2   5) <--> ( 2   5)       -1.611806     -1.221641   (eb)
 ( 2   6) <--> ( 2   1)        0.021636      0.000094      0.000094   WU     0.006912      0.006912
 ( 2   6) <--> ( 2   2)        0.254714      0.012976      0.012976   WU     0.957924      0.957924
 ( 2   6) <--> ( 2   3)       -0.148186      0.004392      0.004392   WU     0.324221      0.324221
 ( 2   6) <--> ( 2   4)        1.740124      0.605606      0.605606   WU    44.707980     44.707980
 ( 2   6) <--> ( 2   5)       -0.777910      0.121029      0.121029   WU     8.934764      8.934764
 ( 2   6) <--> ( 2   6)       -1.054829     -0.799490   (eb)
 ( 2   7) <--> ( 2   1)        0.071221      0.001014      0.001014   WU     0.074894      0.074894
 ( 2   7) <--> ( 2   2)        0.014551      0.000042      0.000042   WU     0.003126      0.003126
 ( 2   7) <--> ( 2   3)       -0.332882      0.022162      0.022162   WU     1.636084      1.636084
 ( 2   7) <--> ( 2   4)       -1.005782      0.202320      0.202320   WU    14.935953     14.935953
 ( 2   7) <--> ( 2   5)       -2.239410      1.002992      1.002992   WU    74.044392     74.044392
 ( 2   7) <--> ( 2   6)       -3.586409      2.572466      2.572466   WU   189.908533    189.908533
 ( 2   7) <--> ( 2   7)       -1.214740     -0.920692   (eb)
 ( 2   8) <--> ( 2   1)        0.055343      0.000613      0.000613   WU     0.045222      0.045222
 ( 2   8) <--> ( 2   2)       -0.001443      0.000000      0.000000   WU     0.000031      0.000031
 ( 2   8) <--> ( 2   3)       -0.070363      0.000990      0.000990   WU     0.073100      0.073100
 ( 2   8) <--> ( 2   4)       -0.098743      0.001950      0.001950   WU     0.143957      0.143957
 ( 2   8) <--> ( 2   5)       -0.619919      0.076860      0.076860   WU     5.674075      5.674075
 ( 2   8) <--> ( 2   6)       -0.269263      0.014500      0.014500   WU     1.070476      1.070476
 ( 2   8) <--> ( 2   7)        4.183191      3.499817      3.499817   WU   258.368854    258.368854
 ( 2   8) <--> ( 2   8)       -3.713011     -2.814214   (eb)
 ( 2   9) <--> ( 2   1)        0.041759      0.000349      0.000349   WU     0.025746      0.025746
 ( 2   9) <--> ( 2   2)        0.110935      0.002461      0.002461   WU     0.181703      0.181703
 ( 2   9) <--> ( 2   3)       -0.251124      0.012613      0.012613   WU     0.931108      0.931108
 ( 2   9) <--> ( 2   4)       -0.827014      0.136790      0.136790   WU    10.098354     10.098354
 ( 2   9) <--> ( 2   5)       -1.860656      0.692408      0.692408   WU    51.116044     51.116044
 ( 2   9) <--> ( 2   6)        2.198601      0.966769      0.966769   WU    71.370329     71.370329
 ( 2   9) <--> ( 2   7)       -0.185626      0.006891      0.006891   WU     0.508750      0.508750
 ( 2   9) <--> ( 2   8)       -1.975776      0.780738      0.780738   WU    57.636863     57.636863
 ( 2   9) <--> ( 2   9)        0.913435      0.692323   (eb)
 ( 2  10) <--> ( 2   1)       -0.014885      0.000044      0.000044   WU     0.003271      0.003271
 ( 2  10) <--> ( 2   2)       -0.010800      0.000023      0.000023   WU     0.001722      0.001722
 ( 2  10) <--> ( 2   3)        0.001588      0.000001      0.000001   WU     0.000037      0.000037
 ( 2  10) <--> ( 2   4)        0.096371      0.001857      0.001857   WU     0.137125      0.137125
 ( 2  10) <--> ( 2   5)        0.405638      0.032909      0.032909   WU     2.429422      2.429422
 ( 2  10) <--> ( 2   6)       -1.039925      0.216289      0.216289   WU    15.967198     15.967198
 ( 2  10) <--> ( 2   7)       -0.306257      0.018759      0.018759   WU     1.384831      1.384831
 ( 2  10) <--> ( 2   8)       -4.104522      3.369420      3.369420   WU   248.742509    248.742509
 ( 2  10) <--> ( 2   9)       -0.819598      0.134348      0.134348   WU     9.918053      9.918053
 ( 2  10) <--> ( 2  10)       -3.371458     -2.555340   (eb)
 ( 2   1) <--> ( 3   1)        1.087861      0.236689      0.169063   WU    17.473184     12.480846
 ( 2   1) <--> ( 3   2)        0.081933      0.001343      0.000959   WU     0.099115      0.070797
 ( 2   1) <--> ( 3   3)        0.021376      0.000091      0.000065   WU     0.006747      0.004819
 ( 2   1) <--> ( 3   4)        0.018976      0.000072      0.000051   WU     0.005317      0.003798
 ( 2   1) <--> ( 3   5)       -0.034500      0.000238      0.000170   WU     0.017574      0.012553
 ( 2   1) <--> ( 3   6)       -0.042659      0.000364      0.000260   WU     0.026869      0.019192
 ( 2   1) <--> ( 3   7)       -0.011753      0.000028      0.000020   WU     0.002040      0.001457
 ( 2   1) <--> ( 3   8)       -0.015834      0.000050      0.000036   WU     0.003702      0.002644
 ( 2   1) <--> ( 3   9)       -0.027600      0.000152      0.000109   WU     0.011247      0.008034
 ( 2   1) <--> ( 3  10)       -0.006725      0.000009      0.000006   WU     0.000668      0.000477
 ( 2   2) <--> ( 3   1)       -2.868352      1.645489      1.175349   WU   121.475818     86.768442
 ( 2   2) <--> ( 3   2)        0.164131      0.005388      0.003848   WU     0.397744      0.284103
 ( 2   2) <--> ( 3   3)        0.123249      0.003038      0.002170   WU     0.224279      0.160199
 ( 2   2) <--> ( 3   4)        0.035402      0.000251      0.000179   WU     0.018505      0.013218
 ( 2   2) <--> ( 3   5)        0.083463      0.001393      0.000995   WU     0.102853      0.073466
 ( 2   2) <--> ( 3   6)       -0.011804      0.000028      0.000020   WU     0.002057      0.001469
 ( 2   2) <--> ( 3   7)        0.058956      0.000695      0.000497   WU     0.051320      0.036657
 ( 2   2) <--> ( 3   8)        0.010768      0.000023      0.000017   WU     0.001712      0.001223
 ( 2   2) <--> ( 3   9)        0.002116      0.000001      0.000001   WU     0.000066      0.000047
 ( 2   2) <--> ( 3  10)        0.045173      0.000408      0.000292   WU     0.030129      0.021520
 ( 2   3) <--> ( 3   1)        0.289495      0.016761      0.011972   WU     1.237388      0.883848
 ( 2   3) <--> ( 3   2)        0.718203      0.103163      0.073688   WU     7.615870      5.439907
 ( 2   3) <--> ( 3   3)        0.303729      0.018450      0.013179   WU     1.362060      0.972900
 ( 2   3) <--> ( 3   4)        0.081134      0.001317      0.000940   WU     0.097192      0.069423
 ( 2   3) <--> ( 3   5)        0.135823      0.003690      0.002635   WU     0.272379      0.194556
 ( 2   3) <--> ( 3   6)       -0.036939      0.000273      0.000195   WU     0.020147      0.014390
 ( 2   3) <--> ( 3   7)        0.092724      0.001720      0.001228   WU     0.126942      0.090673
 ( 2   3) <--> ( 3   8)        0.011474      0.000026      0.000019   WU     0.001944      0.001388
 ( 2   3) <--> ( 3   9)       -0.009030      0.000016      0.000012   WU     0.001204      0.000860
 ( 2   3) <--> ( 3  10)        0.057060      0.000651      0.000465   WU     0.048072      0.034337
 ( 2   4) <--> ( 3   1)        1.847768      0.682849      0.487750   WU    50.410355     36.007397
 ( 2   4) <--> ( 3   2)       -3.873490      3.000785      2.143418   WU   221.528545    158.234675
 ( 2   4) <--> ( 3   3)       -0.462055      0.042699      0.030499   WU     3.152187      2.251562
